SIM_No,MC_Num,JB_Num,P_1,P_2,P_3,I_LB,N_1,N_2,N_3
191,20,100,665,632,594,544,56341607,57742031,59135184
192,20,100,679,636,602,557,57537632,58669806,49533294
193,20,100,663,623,597,569,56978922,57905644,54501772
194,20,100,671,629,585,571,57094132,58285939,54865424
195,20,100,648,605,573,532,55226173,56549564,54374641
196,20,100,665,645,599,570,58500201,56157857,48789710
197,20,100,674,639,583,542,57877497,56144965,52193131
198,20,100,677,616,587,540,60620440,60977477,50169467
199,20,100,666,632,606,539,58719792,57666823,57379690
200,20,100,652,618,574,545,55362440,55613069,52868388
201,20,100,664,639,564,554,56917761,56616993,45177129
202,20,100,676,643,584,545,57456507,59171283,50424514
203,20,100,682,614,559,541,59668704,58369080,49296245
204,20,100,663,643,578,568,61830341,54882923,43938757
205,20,100,657,612,569,544,57671328,56070489,60388895
206,20,100,653,605,581,548,56648590,56012391,55981755
207,20,100,685,642,616,552,57823179,56014546,46300439
208,20,100,670,604,571,563,57984245,55293283,52509235
209,20,100,660,625,583,546,55490674,61514941,50624637
210,20,100,676,604,585,558,58306961,58466751,53776805
211,20,100,680,646,639,544,56386585,57811609,46230312
212,20,100,681,626,599,555,56048160,57323853,48517032
213,20,100,655,614,605,561,58296425,61375874,54520348
214,20,100,678,628,569,546,56800860,56998790,51400614
215,20,100,668,625,611,546,61350120,62037408,42290067
216,20,100,673,629,614,533,60147340,57240814,49842622
217,20,100,662,635,580,535,55965190,56641817,45107639
218,20,100,667,619,588,544,57639942,57062447,50210996
219,20,100,659,607,576,538,56075663,60713498,46582822
220,20,100,679,656,594,555,56126379,59720313,45783688
221,20,100,658,606,582,550,55505032,58099404,43939400
222,20,100,666,630,609,556,55438996,57930956,57600356
223,20,100,670,624,567,545,57829067,57039322,55786783
224,20,100,661,613,577,532,55700514,59097251,58720803
225,20,100,705,654,656,564,56399859,60501183,38837746
226,20,100,664,628,603,533,57028683,58421773,53354909
227,20,100,660,619,625,554,53692817,56865867,62386052
228,20,100,663,615,582,553,57834574,61196315,52253298
229,20,100,658,622,595,526,56892173,59221777,53199027
230,20,100,685,618,597,550,59166901,56258018,54052609
231,20,100,668,614,626,534,55952096,56421750,52670985
232,20,100,675,622,604,556,55149259,55014092,54232330
233,20,100,689,646,617,567,58595305,57773917,42219841
234,20,100,661,632,610,546,56619098,60381857,48896496
235,20,100,677,645,604,532,58039595,58828430,50514142
236,20,100,678,648,584,545,60457420,62404162,51947531
237,20,100,676,631,582,572,56908212,59875143,58539457
238,20,100,677,630,598,526,58383416,60628487,54796322
239,20,100,667,613,585,549,55578303,57548824,49901328
240,20,100,674,621,607,556,54879276,55626206,57568187
241,20,100,682,629,584,548,57023357,57044844,43379572
242,20,100,694,646,584,561,63355943,58256969,51061079
243,20,100,678,645,596,553,57502411,60238046,44604475
244,20,100,679,633,602,554,58710400,58124651,45590892
245,20,100,680,641,581,555,56816226,60265255,61185660
246,20,100,643,617,570,535,55049749,56126817,38666679
247,20,100,658,624,598,568,56474517,56616963,42338676
248,20,100,671,635,598,551,54913750,57820531,42144852
249,20,100,665,632,579,552,56545545,55343267,56303385
250,20,100,664,617,581,555,54064937,54759021,45193414
251,20,100,653,625,591,544,57166102,57591815,51613310
252,20,100,671,632,614,546,56669913,58643809,55228311
253,20,100,678,630,596,557,55345106,58157129,50347424
254,20,100,657,623,584,536,56408273,58646617,49403852
255,20,100,664,638,603,552,58765152,57377049,43886114
256,20,100,656,602,561,542,56711264,56281450,58125797
257,20,100,667,643,587,551,59600991,58849517,58978029
258,20,100,691,649,582,538,58139456,57295082,50969516
259,20,100,664,602,572,552,55930468,56667672,55501016
260,20,100,676,644,579,569,57828636,58181758,55444791
261,20,100,671,615,586,541,57354367,57207434,50604420
262,20,100,679,645,600,538,58903112,61828722,45659067
263,20,100,665,622,589,536,57107635,58056684,50424277
264,20,100,666,626,584,545,59951956,58482373,47144096
265,20,100,657,617,578,528,58045510,59409389,45843582
266,20,100,677,625,589,557,58146629,58112674,49879768
267,20,100,672,629,604,545,54457786,59714926,44993677
268,20,100,648,622,577,541,58151772,57927931,49905275
269,20,100,657,623,593,557,58134024,56878205,49368727
270,20,100,675,642,588,546,58617047,59735344,52431290
271,20,100,653,607,594,536,57398614,56685504,46177761
272,20,100,688,645,581,551,57330748,57629699,49765468
273,20,100,666,644,605,568,57846072,58432730,58514478
274,20,100,684,619,570,542,58534543,57444610,58735882
275,20,100,670,630,578,542,57833399,58708548,58181375
276,20,100,672,625,581,530,56246434,56284508,57788436
277,20,100,679,625,567,556,56404837,55796187,59607156
278,20,100,659,611,616,532,56144748,56667894,56768318
279,20,100,671,634,600,552,56224220,56048438,54130874
280,20,100,661,621,596,535,57123047,58621142,44511642
281,20,100,660,630,570,539,59752996,57541197,49031555
282,20,100,659,639,585,561,56462755,56479680,51216205
